код;направление;форма;места;балл_бюджет;балл_платно;стоимость;предметы_егэ
53.05.01;Искусство   концертного   исполнительства;очная;13;344;261;570 000;Исполнение   сольной программы: инструментальное искусство***, Русский язык, Математика база
53.05.02;Художественное   руководство   оперно-симфоническим   оркестром   и   академическим   хором;очная;5;295;0;570 000;
53.05.04;Музыкально-театральное   искусство;очная;0;0;0;570 000;
54.03.01;Дизайн;очная;48;332;202;570 000;Портфолио, Русский язык, Математика база
54.03.01;Дизайн;очная;6;306;197;570 000;Портфолио, Русский язык, Математика база
54.03.01;Дизайн;очно-заочная;0;0;204;345 000;Портфолио, Русский язык, Математика база
54.03.02;Декоративно-прикладное   искусство   и   народные   промыслы;очная;15;233;0;570 000;Композиция, Русский язык, Математика база
54.03.03;Искусство костюма   и текстиля;очная;15;341;0;570 000;Рисунок, Русский язык, Математика база
54.03.03;Искусство костюма   и текстиля;очно-заочная;0;0;216;345 000;Рисунок, Русский язык, Математика база
54.03.03;Искусство костюма   и текстиля;очная;15;315;235;570 000;Рисунок, Русский язык, Математика база
54.03.03;Искусство костюма   и текстиля;очная;15;296;0;570 000;Рисунок, Русский язык, Математика база
54.03.03;Искусство костюма   и текстиля;очная;12;320;191;570 000;Рисунок, Русский язык, Математика база
54.03.03;Искусство костюма   и текстиля;очная;15;274;0;570 000;Рисунок, Русский язык, Математика база
54.03.04;Реставрация;очная;5;260;168;570 000;Композиция, Русский язык, Математика база
54.05.02;Живопись;очная;3;308;234;570 000;Рисунок, Русский язык, Математика база
